0 deg AoA,,
Port #,Dynamic,Surface
 ,Pressure,Pressure
 ,In H2O,In H2O
1,2.5258,1.6086
2,2.5188,-0.3302
3,2.5226,-0.784
4,2.516,-1.041
5,2.5128,-1.243
6,2.5166,-1.2208
7,2.5178,-1.099
8,2.5092,-0.9156
9,2.5124,-0.7044
10,2.521,-0.0708
11,2.5168,0.3106
12,2.5128,0.2852
13,2.5212,0.2332
14,2.5182,0.1472
15,2.5186,0.0602
16,2.5242,-0.111
17,2.5248,0.0146
18,2.5178,-0.1116
4 deg AoA,,
Port #,Dynamic,Surface
 ,Pressure,Pressure
 ,In H2O,In H2O
1,2.5798,0.8492
2,2.585,-1.9794
3,2.5726,-2.1288
4,2.5884,-2.0006
5,2.5842,-1.8786
6,2.5754,-1.6568
7,2.5824,-1.44
8,2.575,-1.291
9,2.5756,-0.5822
10,2.5772,-0.019
11,2.5726,0.4272
12,2.5802,0.459
13,2.5722,0.4824
14,2.5688,0.5024
15,2.574,0.5186
16,2.588,0.557
17,2.5918,0.272
18,2.5726,0.8368
6 deg AoA,,
Port #,Dynamic,Surface
 ,Pressure,Pressure
 ,In H2O,In H2O
1,2.6084,-0.1554
2,2.6072,-2.865
3,2.6048,-2.8078
4,2.6116,-2.4586
5,2.601,-2.1658
6,2.6048,-1.8702
7,2.593,-1.5972
8,2.5994,-1.153
9,2.5966,-0.6016
10,2.602,0.0244
11,2.5972,0.4708
12,2.6034,0.53
13,2.6028,0.5868
14,2.5988,0.6458
15,2.5936,0.6988
16,2.5968,0.8016
17,2.597,0.3888
18,2.605,1.1426
8 deg AoA,,
Port #,Dynamic,Surface
 ,Pressure,Pressure
 ,In H2O,In H2O
1,2.6494,-1.2682
2,2.6474,-3.673
3,2.647,-3.41
4,2.649,-2.8614
5,2.6492,-2.4158
6,2.6484,-1.9932
7,2.6494,-1.576
8,2.6484,-1.1916
9,2.6486,-0.5698
10,2.6472,0.0714
11,2.6478,0.4874
12,2.6486,0.5758
13,2.6496,0.662
14,2.6498,0.757
15,2.6472,0.8374
16,2.6464,0.9942
17,2.6488,0.4864
18,2.6504,1.3622
10 deg AoA,,
Port #,Dynamic,Surface
 ,Pressure,Pressure
 ,In H2O,In H2O
1,2.6108,-2.5304
2,2.6188,-4.458
3,2.6056,-4.0358
4,2.618,-3.27
5,2.6236,-2.5152
6,2.62,-2.0196
7,2.6122,-1.5732
8,2.6074,-1.1142
9,2.615,-0.3926
10,2.6182,0.033
11,2.6178,0.4426
12,2.6228,0.579
13,2.6242,0.7046
14,2.624,0.8398
15,2.6248,0.9482
16,2.6224,1.1458
17,2.616,0.5626
18,2.625,1.5076
12 deg AoA,,
Port #,Dynamic,Surface
 ,Pressure,Pressure
 ,In H2O,In H2O
1,2.5976,-3.6688
2,2.592,-5.1596
3,2.589,-4.9384
4,2.5904,-3.1496
5,2.5908,-2.5262
6,2.5894,-1.9054
7,2.5886,-1.3404
8,2.5948,-0.7824
9,2.5988,-0.248
10,2.6014,-0.2082
11,2.6034,0.3568
12,2.6034,0.5488
13,2.6122,0.7186
14,2.6096,0.8886
15,2.601,1.019
16,2.6016,1.244
17,2.6018,0.6058
18,2.6028,1.5816
14 deg AoA,,
Port #,Dynamic,Surface
 ,Pressure,Pressure
 ,In H2O,In H2O
1,2.5966,-4.654
2,2.592,-5.7746
3,2.589,-5.1134
4,2.59,-3.2846
5,2.5954,-2.4516
6,2.5904,-1.7138
7,2.6012,-1.0998
8,2.5982,-0.6268
9,2.5964,-0.4162
10,2.6048,-0.3948
11,2.6046,0.2826
12,2.6072,0.5168
13,2.5946,0.7218
14,2.6018,0.9238
15,2.5978,1.0724
16,2.607,1.3154
17,2.612,0.6328
18,2.6054,1.6218
