Test No.,Group,GroupTest,ImageNumber,FileName,TopAoA,BotAoA,AoA,TopShock,BotShock,Mean Mach Number,Mc Top,Mc Bot,CalcTopShock,CalcBotShock,Pc/P1 Top,Pc/P1 Bot
1,G01_03,1,1021,G01_03_Test1_1021,29.17,31.13,1.96,52.03,50.16,1.9151,1.2199,1.1531,48.5575,50.9926,2.6147,2.8049
2,G01_03,2,2436,G01_03_Test2_2436,35.36,24.59,-10.77,55.06,45.63,1.9186,0.9926,1.3686,57.1166,43.3942,3.2739,2.2105
3,G04_06,1,1129,G04_06_Test1_1129,29.2,30.72,1.52,50.17,51.39,1.9177,1.2218,1.169,48.51,50.4294,2.6179,2.7686
4,G04_06,2,2021,G04_06_Test2_2021,33.08,27.95,-5.13,52.8,47.61,1.9191,1.0845,1.263,53.5838,47.052,3.015,2.5058
5,G07_09,1,1200,G07_09_Test1_1200,29.66,30.88,1.22,50.54,50.83,1.9162,1.2041,1.1632,49.139,50.6287,2.6634,2.7798
6,G07_09,2,2254,G07_09_Test2_2254,20.38,39.49,19.11,44.16,59.07,1.9195,1.4924,0.7242,39.3671,68.4447,1.8848,3.9902
7,G10_12,1,1252,G10_12_Test1_1252,29.77,30.38,0.61,50.65,49.7,1.9175,1.2019,1.1806,49.2298,50.0033,2.6741,2.7348
8,G10_12,2,2436,G10_12_Test2_2436,35.26,25,-10.26,55.92,46.37,1.9184,0.9969,1.3557,56.9483,43.8276,3.2612,2.245
9,G10_12,3,3498,G10_12_Test3_3498,44.52,15.73,-28.79,64.12,41.94,1.9198,NA,1.6184,NA,35.6947,NA,1.5789
10,G13_15,1,1378,G13_15_Test1_1378,29.28,30.53,1.25,49.76,50.94,1.9137,1.2157,1.1732,48.6978,50.2448,2.6219,2.7429
11,G13_15,2,2391,G13_15_Test2_2391,42.32,17.42,-24.9,61.46,42.52,1.9168,NA,1.5712,NA,36.9813,NA,1.6824
12,G16_18,1,1196,G16_18_Test1_1196,29.32,30.44,1.12,50.57,51.08,1.9146,1.2148,1.1769,48.7386,50.1137,2.7352,2.6276
13,G16_18,2,2249,G16_18_Test2_2249,24.66,35.27,10.61,46.92,55.29,1.9154,1.3634,0.9936,43.5386,57.0605,2.2148,3.2592
